name,category,address,phone,badge
Gerhard Wenzel Tiefbauunternehmung GmbH & Co. KG,Rohrleitungsbau,"Kleinmachnower Weg 13 -15, 14165 Berlin (Zehlendorf)",030 8 16 00 00,
Industriemontagen Hofmann e.K.,Rohrleitungsbau,"Hinter der Schenke 5, 99958 Tonna (Burgtonna)",036042 7 94 25,
Amba-Erdbau GmbH,Silber Partner,"Oraniendamm 68, 13469 Berlin (Waidmannslust)",030 40 53 64 73,Silber Partner
Wilhelm Meyer GmbH & Co.KG,Top Partner,"Am Gewerbering 20, 15374 Müncheberg",033432 83 90,Top Partner
Grötzner GmbH,First Class,"Sülbecksweg 57, 37574 Einbeck",05561 25 22,
HECKHOFF GMBH,Silber Partner,"Bochumer Str. 7, 42279 Wuppertal (Barmen)",0202 2 60 46 30,Silber Partner
Jürgen Nägele GmbH,Rohrleitungsbau,"Marie-Curie-Str. 3, 71364 Winnenden (Hertmannsweiler)",07195 2 09 13 48,
Heine Brunnen- und Rohrleitungsbaugesellschaft mbH,Silber Partner,"Gewerbestr. 5, 08412 Werdau (Langenhessen)",03761 35 87,Silber Partner
EHI GmbH,Business,"Lange Str. 21, 31832 Springe (Eldagsen)",05044 2 03,
HIT Heizwerks- und Industrietechnik GmbH,Business,"Klosterwuhne 27, 39126 Magdeburg",0391 25 46 40,
Kölling GmbH,Silber Partner,"Heidestr. 4A, 01561 Ebersbach (Bieberach)",035248 84 30,Silber Partner
Kuntemeier GmbH,Economy,"Osterweg 20, 32549 Bad Oeynhausen",05731 75 20 30,
Wilhelm Meyer GmbH & Co.KG,Top Partner,"Fürstenwalder Poststr. 106, 15234 Frankfurt (Oder)",0335 40 07 02 93,Top Partner
E. Diekmann GmbH,Economy,"Berliner Str. 34, 38165 Lehre",05308 97 04-0,
GÜNTHER & SCHWARTZ Rohrleitungsbau GmbH,Basic Partner,"Jüchtstr. 43, 53773 Hennef",02242 8 73 10 39,Basic Partner
Hermann Lorenz Rohrleitungsbau GmbH,Economy,"Stadtweg 12, 37141 Northeim",05551 33 39,
Hermann Lorenz Rohrleitungsbau GmbH,Economy,"Stadtweg 12, 37141 Northeim",05551 33 39,
Kliewe house-tec GmbH,Economy,"Temdestr. 8, 32756 Detmold",05231 3 08 23 95,
Weber Industrieller Rohrleitungsbau & Anlagenbau GmbH & Co. KG,Basic Partner,"Dieselstr. 13, 50259 Pulheim",02238 96 50 10,Basic Partner
Windel Ingenieurges. mbH,Economy,"Werner-Nordmeyer-Str. 4, 31226 Peine (Kernstadt Süd)",05171 5 54 66,
Buck Tankanlagen GmbH,Gold Partner,"Daloser Weg 5, 89134 Blaustein (Bermaringen)",07304 8 03 93-0,Gold Partner
Pumpen-Wolf,,"Holzlandstr. 13, 07629 Reichenbach",036601 92 00-0,
"Landshammer GmbH Heizungsbau, Sanitärinstallationen",Rohrleitungsbau,"Hansastr. 15, 80686 München (Sendling-Westpark)",089 88 14 40,
He-GAS GmbH,,"Wilhelm-Conrad-Röntgen-Str. 5, 07629 Hermsdorf",036601 29 60-0,
Ruhdorfer Rohrleitungsbau GmbH,,"Pentenrieder Str. 30, 82152 Krailling",089 8 56 15 44,
Haakshorst Rohrtechnik GmbH & Co KG,Rohrleitungsbau,"Bünnerhelfstr. 10, 44379 Dortmund (Dorstfeld)",0231 96 43 05,
RRS Montan GmbH & Co. KG,Rohrleitungsbau,"Weststr. 23B, 45891 Gelsenkirchen (Erle)",0163 8 88 85 08,
Kröger Anlagenbau GmbH,Silber Partner,"Neubukower Str. 4, 18233 Carinerland-Moitin",038297 50 00,Silber Partner
Furnier Michael GmbH,Bronze- Partner,"Dorfstr. 7, 86316 Friedberg (Rohrbach)",08208 2 71,Bronze- Partner
RGW - Rohrbau Glanz GmbH,Rohrleitungsbau,"Sauerlacher Str. 5, 85649 Brunnthal (Hofolding)",08104 8 89 89 50,
Kolodzik Anlagenbau GmbH,Bronze Partner,"Am Gnädigspark 11, 17309 Pasewalk",03973 20 85-0,Bronze Partner
A.I.B. GmbH,Rohrleitungsbau,"Wilhelm-Bitter-Platz 3, 45659 Recklinghausen (Hillerheide)",02361 30 36 00,
AMROS GmbH Montagen Rohrleitungsbau und Schweißtechnik,Rohrleitungsbau,"Prinz-Regent-Str. 84, 44795 Bochum (Weitmar)",0234 3 38 65 80,
AÖ Bau GmbH,Rohrleitungsbau,"Dammstr. 42, 44145 Dortmund (Lindenhorst)",0231 4 44 27 46 67,
APS-Technik Inh. Dipl.-Ing. Udo Barthel Rohrbau,Rohrleitungsbau,"Ruhlsdorfer Str. 95, 14532 Stahnsdorf",03329 69 08 13,
ARKIL INPIPE GmbH Rohrleitungssanierung,Rohrleitungsbau,"Rheinbabenstr. 75, 46240 Bottrop (Eigen)",02041 7 09 57-0,
AVIT GmbH,Rohrleitungsbau,"Manderscheidtstr. 86, 45141 Essen (Frillendorf)",0201 2 94 90-0,
B & L Kabeltief- und Rohrleitungsbau GmbH,Rohrleitungsbau,"Lehniner Str. 88, 14797 Kloster Lehnin (Damsdorf)",03382 7 07 84 20,
Bau- & Industrieservice Sassenhagen GbR,Rohrleitungsbau,"Haßlower Chaussee 1, 16909 Wittstock/Dosse",03394 4 00 80 60,
Berkel Rohrtechnik GmbH,Rohrleitungsbau,"Brüsseler Str. 67, 45968 Gladbeck (Brauck)",02043 4 01 17 78,
Berkel Rohrtechnik GmbH,Rohrleitungsbau,"Franzstr. 25, 45968 Gladbeck (Brauck)",02043 4 01 16 91,
Berkenkamp u. Wüllner GmbH,Rohrleitungsbau,"Schwanebecker Weg 1, 14641 Nauen",03321 74 43 26,
Burgdorf Rohrleitungs- und Tiefbau GmbH,Rohrleitungsbau,"Märkische Str. 3, 16909 Wittstock",03394 47 82-0,
Buxkämper & Esser Rohrleitungsbau GmbH & Co. KG,Rohrleitungsbau,"Rheinstr. 4, 44579 Castrop-Rauxel (Habinghorst)",02305 7 40 41,
DAR Apparate- und Rohrleitungsbau GmbH,Rohrleitungsbau,"Düsseldorfer Landstr. 286, 47259 Duisburg (Huckingen)",0203 78 10 55,
Daume GmbH,Rohrleitungsbau,"Drewitzer Str. 22A, 14478 Potsdam (Waldstadt I)",0331 81 71 69-0,
